index,D_0__Archaea,D_0__Bacteria,Name,host,host infra specific rank,watering regimen,root_compartment,soil_source,biological_replicate,host infra specific name
SRR5532683,39.0,12636.0,drght.145,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Davis,4.0,indica
SRR5532684,41.0,13710.0,drght.146,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Davis,4.0,indica
SRR5532685,90.0,13056.0,drght.147,Oryza sativa,IR20,Watered,Rhizosphere,Davis,4.0,indica
SRR5532686,42.0,12416.0,drght.148,Oryza sativa,M206,Watered,Rhizosphere,Davis,4.0,japonica
SRR5532687,107.0,43083.0,drght.141,Oryza glaberrima,TOg7102,Watered,Endosphere,Biggs,3.0,indica
SRR5532688,29.0,36549.0,drght.142,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Biggs,3.0,indica
SRR5532689,5.0,30059.0,drght.143,Oryza sativa,IR20,Watered,Endosphere,Biggs,3.0,indica
SRR5532690,28.0,33573.0,drght.144,Oryza sativa,M206,Watered,Endosphere,Biggs,3.0,japonica
SRR5532691,334.0,18775.0,drght.149,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Arbuckle,4.0,indica
SRR5532692,284.0,14905.0,drght.150,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Arbuckle,4.0,indica
SRR5532693,147.0,13528.0,drght.213,Soil,not applicable,Watered,BulkSoil,Biggs,4.0,indica
SRR5532694,96.0,23407.0,drght.76,Oryza sativa,M206,Drought,Rhizosphere,Davis,2.0,japonica
SRR5532695,125.0,19223.0,drght.214,Soil,not applicable,Drought,BulkSoil,Davis,4.0,indica
SRR5532696,214.0,22743.0,drght.132,Oryza sativa,M206,Watered,Rhizosphere,Biggs,3.0,japonica
SRR5532697,497.0,22335.0,drght.131,Oryza sativa,IR20,Watered,Rhizosphere,Biggs,3.0,indica
SRR5532698,16.0,23643.0,drght.134,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Davis,3.0,indica
SRR5532699,2.0,26712.0,drght.133,Oryza glaberrima,TOg7102,Watered,Endosphere,Davis,3.0,indica
SRR5532700,4.0,23281.0,drght.136,Oryza sativa,M206,Watered,Endosphere,Davis,3.0,japonica
SRR5532701,21.0,28906.0,drght.135,Oryza sativa,IR20,Watered,Endosphere,Davis,3.0,indica
SRR5532702,67.0,38983.0,drght.138,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Arbuckle,3.0,indica
SRR5532703,170.0,37768.0,drght.137,Oryza glaberrima,TOg7102,Watered,Endosphere,Arbuckle,3.0,indica
SRR5532704,10.0,35131.0,drght.140,Oryza sativa,M206,Watered,Endosphere,Arbuckle,3.0,japonica
SRR5532705,64.0,39063.0,drght.139,Oryza sativa,IR20,Watered,Endosphere,Arbuckle,3.0,indica
SRR5532706,208.0,39545.0,drght.80,Oryza sativa,M206,Drought,Rhizosphere,Arbuckle,2.0,japonica
SRR5532707,150.0,31610.0,drght.79,Oryza sativa,IR20,Drought,Rhizosphere,Arbuckle,2.0,indica
SRR5532708,542.0,23719.0,drght.154,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Biggs,4.0,indica
SRR5532709,659.0,27107.0,drght.153,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Biggs,4.0,indica
SRR5532710,122.0,15622.0,drght.152,Oryza sativa,M206,Watered,Rhizosphere,Arbuckle,4.0,japonica
SRR5532711,151.0,15745.0,drght.151,Oryza sativa,IR20,Watered,Rhizosphere,Arbuckle,4.0,indica
SRR5532712,17.0,47043.0,drght.158,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Davis,4.0,indica
SRR5532713,56.0,50000.0,drght.157,Oryza glaberrima,TOg7102,Watered,Endosphere,Davis,4.0,indica
SRR5532714,236.0,25805.0,drght.156,Oryza sativa,M206,Watered,Rhizosphere,Biggs,4.0,japonica
SRR5532715,257.0,23769.0,drght.155,Oryza sativa,IR20,Watered,Rhizosphere,Biggs,4.0,indica
SRR5532716,9.0,47053.0,drght.160,Oryza sativa,M206,Watered,Endosphere,Davis,4.0,japonica
SRR5532717,22.0,40680.0,drght.159,Oryza sativa,IR20,Watered,Endosphere,Davis,4.0,indica
SRR5532718,234.0,17193.0,drght.81,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Biggs,2.0,indica
SRR5532719,169.0,18662.0,drght.82,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Biggs,2.0,indica
SRR5532720,34.0,16313.0,drght.98,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,3.0,indica
SRR5532721,23.0,29846.0,drght.61,Oryza glaberrima,TOg7102,Watered,Endosphere,Davis,2.0,indica
SRR5532722,29.0,31628.0,drght.62,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Davis,2.0,indica
SRR5532723,0.0,47890.0,drght.63,Oryza sativa,IR20,Watered,Endosphere,Davis,2.0,indica
SRR5532724,2.0,38921.0,drght.64,Oryza sativa,M206,Watered,Endosphere,Davis,2.0,japonica
SRR5532725,25.0,20016.0,drght.65,Oryza glaberrima,TOg7102,Watered,Endosphere,Arbuckle,2.0,indica
SRR5532726,22.0,13570.0,drght.66,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Arbuckle,2.0,indica
SRR5532727,17.0,18714.0,drght.67,Oryza sativa,IR20,Watered,Endosphere,Arbuckle,2.0,indica
SRR5532728,2.0,14502.0,drght.68,Oryza sativa,M206,Watered,Endosphere,Arbuckle,2.0,japonica
SRR5532729,19.0,11261.0,drght.69,Oryza glaberrima,TOg7102,Watered,Endosphere,Biggs,2.0,indica
SRR5532730,14.0,16034.0,drght.70,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Biggs,2.0,indica
SRR5532731,77.0,31101.0,drght.75,Oryza sativa,IR20,Drought,Rhizosphere,Davis,2.0,indica
SRR5532732,37.0,15184.0,drght.97,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,3.0,indica
SRR5532733,13.0,46731.0,drght.89,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,2.0,indica
SRR5532734,289.0,20374.0,drght.60,Oryza sativa,M206,Watered,Rhizosphere,Biggs,2.0,japonica
SRR5532735,138.0,24046.0,drght.59,Oryza sativa,IR20,Watered,Rhizosphere,Biggs,2.0,indica
