index,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WS2,D_0__Bacteria;__,Name,Collection,State,TimePoint
ERR2654522,334.0,777.0,0.0,57.0,124.0,2.0,0.0,0.0,0.0,0.0,5.0,137.0,2.0,20.0,10.0,0.0,8.0,702.0,17.0,0.0,394.0,0.0,197.0,E02B,September,drought,At the end of the drought
ERR2654470,1384.0,2243.0,2.0,577.0,451.0,26.0,0.0,0.0,4.0,2.0,32.0,412.0,65.0,41.0,41.0,27.0,20.0,2632.0,64.0,0.0,1179.0,0.0,541.0,C04D,September,control,2 months recovery
ERR2654484,1065.0,1240.0,0.0,381.0,243.0,9.0,0.0,0.0,2.0,14.0,7.0,297.0,29.0,55.0,32.0,2.0,11.0,1720.0,39.0,0.0,850.0,2.0,396.0,C09C,September,control,A week recovery
ERR2654479,1074.0,2485.0,0.0,363.0,347.0,25.0,0.0,0.0,0.0,6.0,8.0,405.0,40.0,36.0,19.0,14.0,22.0,2106.0,40.0,0.0,762.0,0.0,444.0,C07A,September,control,Before drought
ERR2654570,1006.0,2686.0,0.0,564.0,363.0,473.0,2.0,0.0,0.0,0.0,4.0,428.0,38.0,25.0,31.0,20.0,57.0,2462.0,54.0,0.0,1186.0,0.0,493.0,F08A,September,drought,Before drought
ERR2654506,1673.0,3003.0,4.0,753.0,584.0,34.0,0.0,0.0,2.0,10.0,21.0,751.0,66.0,66.0,48.0,28.0,54.0,3166.0,94.0,2.0,1941.0,2.0,666.0,D06B,September,control,At the end of the drought
ERR2654442,700.0,1156.0,0.0,363.0,93.0,13.0,0.0,2.0,0.0,0.0,14.0,364.0,27.0,7.0,7.0,3.0,4.0,1846.0,23.0,0.0,819.0,0.0,157.0,B05C,September,drought,A week recovery
ERR2654602,889.0,1254.0,0.0,361.0,310.0,11.0,0.0,0.0,4.0,0.0,13.0,396.0,48.0,52.0,60.0,2.0,10.0,1533.0,38.0,0.0,720.0,0.0,386.0,G09C,September,control,A week recovery
ERR2654443,1114.0,3007.0,0.0,757.0,394.0,35.0,0.0,0.0,2.0,0.0,34.0,560.0,60.0,29.0,22.0,14.0,73.0,3076.0,40.0,0.0,1213.0,0.0,501.0,B05D,September,control,2 months recovery
ERR2654408,1278.0,2434.0,0.0,693.0,402.0,14.0,0.0,0.0,2.0,6.0,0.0,364.0,75.0,22.0,28.0,12.0,50.0,2636.0,53.0,0.0,1220.0,0.0,565.0,A04D,September,control,2 months recovery
ERR2654436,1048.0,2072.0,0.0,306.0,133.0,21.0,4.0,0.0,0.0,2.0,0.0,487.0,25.0,7.0,13.0,23.0,59.0,2390.0,30.0,0.0,1291.0,0.0,208.0,B03D,September,drought,2 months recovery
ERR2654623,1244.0,1722.0,0.0,437.0,362.0,18.0,0.0,0.0,0.0,16.0,39.0,371.0,54.0,127.0,41.0,17.0,29.0,2219.0,42.0,0.0,1038.0,0.0,465.0,H06C,September,control,2 months recovery
ERR2654533,1320.0,2814.0,0.0,607.0,488.0,25.0,3.0,0.0,2.0,0.0,18.0,650.0,69.0,33.0,34.0,14.0,30.0,2684.0,46.0,0.0,1409.0,0.0,542.0,E05D,September,control,2 months recovery
ERR2654618,540.0,990.0,0.0,114.0,130.0,41.0,0.0,2.0,0.0,3.0,4.0,129.0,8.0,14.0,13.0,0.0,4.0,1087.0,23.0,0.0,608.0,0.0,203.0,H05B,September,drought,At the end of the drought
ERR2654445,407.0,1503.0,0.0,192.0,146.0,37.0,0.0,0.0,3.0,2.0,6.0,229.0,19.0,8.0,12.0,7.0,5.0,1246.0,20.0,0.0,524.0,0.0,197.0,B06B,September,control,At the end of the drought
ERR2654531,580.0,907.0,0.0,100.0,140.0,66.0,0.0,2.0,0.0,0.0,4.0,198.0,12.0,21.0,30.0,0.0,9.0,1070.0,33.0,0.0,661.0,0.0,201.0,E05B,September,drought,At the end of the drought
ERR2654631,729.0,1535.0,0.0,256.0,206.0,2.0,0.0,0.0,0.0,0.0,5.0,262.0,27.0,29.0,22.0,4.0,11.0,1575.0,27.0,0.0,646.0,0.0,290.0,H10C,September,control,A week recovery
ERR2654406,136.0,451.0,0.0,20.0,31.0,44.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,12.0,2.0,0.0,4.0,398.0,18.0,0.0,241.0,0.0,61.0,A04B,September,drought,At the end of the drought
ERR2654548,389.0,1842.0,0.0,327.0,129.0,723.0,0.0,0.0,0.0,0.0,9.0,209.0,34.0,5.0,5.0,33.0,8.0,1613.0,0.0,0.0,627.0,0.0,187.0,F01C,September,control,A week recovery
ERR2654604,862.0,1646.0,0.0,310.0,91.0,13.0,0.0,0.0,0.0,2.0,3.0,550.0,31.0,3.0,4.0,35.0,27.0,2419.0,21.0,0.0,1180.0,0.0,216.0,G11C,September,drought,A week recovery
ERR2654451,850.0,2848.0,5.0,711.0,275.0,47.0,2.0,0.0,2.0,2.0,20.0,504.0,36.0,20.0,14.0,20.0,48.0,2417.0,47.0,0.0,1110.0,0.0,434.0,B08B,September,control,At the end of the drought
ERR2654450,1579.0,3964.0,2.0,826.0,572.0,57.0,0.0,0.0,0.0,3.0,5.0,666.0,55.0,51.0,37.0,39.0,120.0,3555.0,78.0,0.0,2103.0,2.0,804.0,B08A,September,control,Before drought
ERR2654469,525.0,1310.0,2.0,159.0,118.0,11.0,0.0,0.0,2.0,0.0,5.0,187.0,14.0,8.0,11.0,9.0,13.0,1284.0,16.0,0.0,665.0,0.0,211.0,C04C,September,drought,A week recovery
ERR2654477,2102.0,2589.0,0.0,684.0,366.0,74.0,0.0,0.0,0.0,4.0,37.0,735.0,92.0,61.0,27.0,41.0,71.0,3560.0,64.0,0.0,2184.0,2.0,621.0,C06C,September,drought,2 months recovery
ERR2654400,735.0,1705.0,0.0,245.0,224.0,9.0,0.0,0.0,0.0,3.0,2.0,260.0,16.0,22.0,20.0,6.0,15.0,1764.0,38.0,0.0,781.0,0.0,333.0,A02C,September,control,A week recovery
ERR2654433,234.0,781.0,0.0,69.0,92.0,43.0,0.0,0.0,0.0,0.0,0.0,116.0,8.0,11.0,5.0,8.0,4.0,530.0,9.0,0.0,301.0,0.0,89.0,B03A,September,control,Before drought
ERR2654452,587.0,1590.0,3.0,413.0,172.0,45.0,0.0,0.0,0.0,0.0,4.0,298.0,31.0,13.0,7.0,16.0,14.0,1403.0,16.0,0.0,800.0,0.0,240.0,B08C,September,control,A week recovery
ERR2654462,285.0,562.0,0.0,196.0,43.0,4.0,0.0,0.0,0.0,0.0,2.0,277.0,8.0,0.0,2.0,20.0,6.0,1175.0,6.0,0.0,530.0,0.0,89.0,C02C,September,drought,A week recovery
ERR2654621,868.0,2269.0,2.0,264.0,345.0,18.0,0.0,0.0,0.0,0.0,7.0,301.0,34.0,26.0,20.0,6.0,26.0,2094.0,40.0,0.0,770.0,0.0,439.0,H06A,September,drought,Before drought
ERR2654616,893.0,1748.0,0.0,250.0,200.0,8.0,0.0,0.0,2.0,3.0,0.0,266.0,41.0,20.0,9.0,9.0,8.0,1743.0,28.0,0.0,976.0,0.0,345.0,H04D,September,drought,2 months recovery
ERR2654511,1040.0,2128.0,0.0,252.0,361.0,36.0,0.0,0.0,0.0,2.0,0.0,365.0,21.0,37.0,21.0,7.0,38.0,2259.0,47.0,0.0,882.0,0.0,516.0,D08A,September,drought,Before drought
ERR2654474,983.0,1834.0,0.0,336.0,266.0,16.0,0.0,0.0,2.0,2.0,11.0,440.0,47.0,15.0,22.0,8.0,20.0,1880.0,30.0,0.0,913.0,0.0,311.0,C05D,September,control,2 months recovery
ERR2654556,917.0,1469.0,0.0,291.0,265.0,9.0,0.0,0.0,2.0,2.0,19.0,308.0,31.0,89.0,25.0,8.0,18.0,1482.0,45.0,0.0,710.0,0.0,340.0,F03C,September,control,A week recovery
ERR2654572,1169.0,2623.0,0.0,1028.0,174.0,159.0,0.0,13.0,0.0,0.0,12.0,1102.0,57.0,2.0,17.0,174.0,53.0,4205.0,18.0,0.0,2124.0,0.0,396.0,F08C,September,drought,A week recovery
ERR2654626,991.0,2271.0,0.0,593.0,377.0,29.0,0.0,0.0,8.0,2.0,59.0,392.0,38.0,29.0,27.0,29.0,26.0,2155.0,43.0,0.0,1228.0,0.0,454.0,H07B,September,control,At the end of the drought
ERR2654487,1391.0,3678.0,0.0,917.0,513.0,227.0,0.0,6.0,0.0,2.0,0.0,567.0,63.0,27.0,39.0,106.0,38.0,3097.0,51.0,0.0,1441.0,0.0,754.0,D01A,September,drought,Before drought
ERR2654564,806.0,1990.0,0.0,401.0,288.0,126.0,0.0,0.0,0.0,0.0,3.0,318.0,19.0,13.0,14.0,4.0,17.0,1994.0,26.0,0.0,598.0,0.0,380.0,F06A,September,drought,Before drought
ERR2654569,1267.0,2693.0,0.0,606.0,443.0,39.0,0.0,0.0,2.0,5.0,8.0,550.0,51.0,58.0,43.0,25.0,52.0,2434.0,52.0,0.0,1411.0,2.0,588.0,F07B,September,control,At the end of the drought
ERR2654547,726.0,1877.0,2.0,221.0,256.0,22.0,0.0,0.0,2.0,0.0,15.0,222.0,8.0,21.0,20.0,20.0,20.0,1722.0,28.0,0.0,680.0,0.0,406.0,F01B,September,control,At the end of the drought
ERR2654480,656.0,2046.0,0.0,386.0,260.0,12.0,0.0,0.0,2.0,0.0,15.0,478.0,31.0,13.0,25.0,13.0,28.0,1895.0,33.0,0.0,965.0,0.0,294.0,C07B,September,control,At the end of the drought
ERR2654434,601.0,1297.0,0.0,278.0,205.0,13.0,0.0,0.0,0.0,0.0,27.0,235.0,30.0,21.0,18.0,17.0,17.0,1379.0,35.0,0.0,567.0,0.0,256.0,B03B,September,control,At the end of the drought
