index,D_0__Archaea,D_0__Bacteria,Library_Name,SRA_Sample,env_biome,env_feature,env_material,host
SRR1524577,88.0,31289.0,GHRun1,SRS665176,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524578,127.0,17501.0,FieldRun1,SRS665017,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524579,12.0,48097.0,GHRun1,SRS665182,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524580,233.0,76270.0,GHRun1,SRS665184,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524581,885.0,55602.0,FieldRun1,SRS665018,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524582,455.0,54119.0,FieldRun1,SRS665020,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524583,327.0,41897.0,FieldRun1,SRS665022,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524584,195.0,22616.0,GHRun1,SRS665186,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524585,1093.0,74009.0,FieldRun1,SRS665023,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524586,479.0,61017.0,FieldRun1,SRS665025,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524587,245.0,60923.0,FieldRun1,SRS665027,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524588,544.0,63644.0,FieldRun1,SRS665029,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524589,87.0,78602.0,GHRun1,SRS665189,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524590,837.0,62785.0,FieldRun1,SRS665030,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524591,134.0,20200.0,GHRun1,SRS665191,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524592,445.0,119516.0,FieldRun1,SRS665032,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524593,107.0,58341.0,FieldRun1,SRS665034,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524594,657.0,110149.0,GHRun1,SRS665193,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524595,318.0,56862.0,FieldRun1,SRS665035,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524596,113.0,26153.0,SAMN02929777,SRS665195,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524597,60.0,63571.0,FieldRun1,SRS665037,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524598,8.0,50706.0,GHRun1,SRS665198,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524599,598.0,65772.0,FieldRun1,SRS665039,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524600,502.0,61445.0,FieldRun1,SRS665040,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524601,255.0,66133.0,GHRun1,SRS665201,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524602,106.0,71710.0,FieldRun1,SRS665042,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524603,124.0,23013.0,GHRun1,SRS665205,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524604,209.0,62020.0,FieldRun1,SRS665045,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524605,159.0,30219.0,GHRun1,SRS665207,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524606,205.0,72189.0,FieldRun1,SRS665047,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524607,97.0,64139.0,GHRun1,SRS665209,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524608,134.0,71190.0,FieldRun1,SRS665048,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524609,300.0,35398.0,GHRun1,SRS665211,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524610,906.0,80790.0,FieldRun1,SRS665050,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524611,269.0,55835.0,GHRun1,SRS665215,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524612,245.0,62156.0,FieldRun1,SRS665052,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524613,79.0,83460.0,FieldRun1,SRS665053,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524614,128.0,33579.0,GHRun1,SRS665218,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524615,54.0,70244.0,GHRun1,SRS665221,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524616,541.0,65627.0,FieldRun1,SRS665054,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524617,182.0,44218.0,GHRun1,SRS665223,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524618,369.0,63225.0,FieldRun1,SRS665056,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524619,100.0,23371.0,GHRun1,SRS665225,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524620,49.0,69430.0,FieldRun1,SRS665058,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524621,22.0,37552.0,GHRun1,SRS665226,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524622,629.0,70922.0,FieldRun1,SRS665060,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524623,387.0,64513.0,GHRun1,SRS665228,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524624,126.0,39284.0,FieldRun1,SRS665061,Rice Paddy,Rice Paddy,Rhizoplane,Rice
