index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,Stage,TimePoint,Species,State
SRR6764518,0.0,0.0,457.0,115.0,0.0,72.0,11.0,4.0,0.0,3.0,0.0,252.0,41.0,0.0,122.0,0.0,4.0,453.0,0.0,28.0,0.0,Control,TP8,RT430,Watrered
SRR6764566,0.0,2.0,550.0,164.0,5.0,349.0,104.0,5.0,0.0,6.0,0.0,283.0,162.0,3.0,151.0,5.0,11.0,656.0,18.0,82.0,0.0,Control,TP16,BT642,Watrered
SRR6764915,2.0,0.0,339.0,111.0,0.0,142.0,82.0,0.0,2.0,12.0,0.0,233.0,101.0,0.0,70.0,3.0,10.0,448.0,5.0,36.0,0.0,Pre_flowering,TP14,RT430,Recovery
SRR6764975,0.0,0.0,261.0,52.0,0.0,108.0,24.0,2.0,0.0,5.0,0.0,137.0,49.0,0.0,67.0,2.0,2.0,370.0,4.0,44.0,0.0,Control,TP14,BT642,Watrered
SRR6764399,4.0,4.0,1034.0,334.0,10.0,494.0,179.0,11.0,0.0,16.0,0.0,462.0,286.0,3.0,194.0,3.0,30.0,1349.0,18.0,104.0,2.0,Pre_flowering,TP16,RT430,Recovery
SRR6764475,0.0,3.0,244.0,287.0,0.0,104.0,77.0,0.0,0.0,13.0,2.0,306.0,69.0,0.0,79.0,0.0,9.0,565.0,0.0,68.0,0.0,Pre_flowering,TP12,BT642,Recovery
SRR6764797,12.0,6.0,194.0,176.0,5.0,82.0,19.0,4.0,0.0,8.0,0.0,177.0,33.0,0.0,58.0,0.0,6.0,242.0,0.0,47.0,0.0,Pre_flowering,TP5,BT642,Drought
SRR6764682,2.0,3.0,600.0,178.0,0.0,202.0,116.0,0.0,0.0,8.0,0.0,436.0,107.0,0.0,132.0,0.0,5.0,740.0,15.0,34.0,0.0,Control,TP11,BT642,Watrered
SRR6764973,0.0,0.0,216.0,154.0,0.0,75.0,51.0,0.0,0.0,5.0,0.0,166.0,77.0,0.0,81.0,0.0,2.0,354.0,2.0,53.0,0.0,Pre_flowering,TP14,RT430,Recovery
SRR6764692,0.0,0.0,350.0,132.0,6.0,194.0,53.0,1.0,0.0,6.0,0.0,246.0,85.0,0.0,164.0,0.0,6.0,452.0,12.0,65.0,0.0,Control,TP7,BT642,Watrered
SRR6764872,0.0,0.0,953.0,446.0,5.0,388.0,196.0,13.0,1.0,21.0,0.0,551.0,144.0,0.0,176.0,35.0,44.0,1071.0,2.0,238.0,0.0,Post_flowering,TP11,RT430,Drought
